Model,Accuracy mean %,Precision mean %,Recall mean %,F1 Score mean %,Features
Decision Tree,73.74712644,73.52272727,70.10989011,71.16465907,"['cp', 'chol', 'restecg']"
Decision Tree,74.08045977,71.66591892,78.13186813,74.00183207,"['cp', 'chol', 'thalach']"
Decision Tree,69.70114943,72.2022218,62.03296703,64.036697,"['cp', 'chol', 'exang']"
Decision Tree,73.7816092,73.94527042,67.96703297,69.93128297,"['cp', 'chol', 'oldpeak']"
Decision Tree,72.08045977,73.41431118,64.3956044,67.58418144,"['cp', 'chol', 'slope']"
Decision Tree,75.47126437,82.65225787,61.64835165,68.51996892,"['cp', 'chol', 'ca']"
Decision Tree,76.12643678,73.58241758,76.04395604,74.21153371,"['cp', 'chol', 'thal']"
Decision Tree,75.45977011,73.78342968,75.32967033,73.86826892,"['cp', 'fbs', 'restecg']"
Decision Tree,76.12643678,75.47822684,75.27472527,74.66821754,"['cp', 'fbs', 'thalach']"
Decision Tree,72.43678161,75.39098878,67.30769231,68.35748341,"['cp', 'fbs', 'exang']"
Decision Tree,75.8045977,75.28443194,73.02197802,73.03429862,"['cp', 'fbs', 'oldpeak']"
Decision Tree,71.75862069,74.55169504,62.85714286,66.70757454,"['cp', 'fbs', 'slope']"
Decision Tree,76.11494253,88.42748918,56.37362637,67.46058483,"['cp', 'fbs', 'ca']"
Decision Tree,76.82758621,77.93439893,70.21978022,73.6917014,"['cp', 'fbs', 'thal']"
Decision Tree,76.12643678,75.47822684,75.27472527,74.66821754,"['cp', 'restecg', 'thalach']"
Decision Tree,76.79310345,80.69147519,65.71428571,71.81897043,"['cp', 'restecg', 'exang']"
Decision Tree,75.47126437,75.12103325,72.30769231,72.6512341,"['cp', 'restecg', 'oldpeak']"
Decision Tree,76.7816092,80.83117536,68.02197802,72.33819252,"['cp', 'restecg', 'slope']"
Decision Tree,73.79310345,78.72798362,63.13186813,67.03611036,"['cp', 'restecg', 'ca']"
Decision Tree,77.18390805,74.05238144,79.06593407,75.99039386,"['cp', 'restecg', 'thal']"
Decision Tree,72.08045977,77.98773122,61.37362637,66.34112981,"['cp', 'thalach', 'exang']"
Decision Tree,72.08045977,72.20727157,68.68131868,68.80225017,"['cp', 'thalach', 'oldpeak']"
Decision Tree,74.42528736,73.00034615,77.47252747,73.97424288,"['cp', 'thalach', 'slope']"
Decision Tree,80.14942529,85.46178821,70.93406593,76.47009035,"['cp', 'thalach', 'ca']"
Decision Tree,82.20689655,89.25773573,71.64835165,78.6948087,"['cp', 'thalach', 'thal']"
Decision Tree,74.79310345,74.37417553,71.53846154,71.93077571,"['cp', 'exang', 'oldpeak']"
Decision Tree,73.44827586,77.59207786,63.68131868,68.0362978,"['cp', 'exang', 'slope']"
Decision Tree,79.49425287,83.3026973,70.27472527,75.62535243,"['cp', 'exang', 'ca']"
Decision Tree,78.51724138,78.43066003,76.04395604,76.44491131,"['cp', 'exang', 'thal']"
